Id,ele,slope,spi,tri,twi,plc,prc,CS_perc,litho_13,litho_14,litho_15,litho_16,litho_18,litho_19,litho_22,litho_23,litho_24,litho_25,uso_1,uso_2,uso_3,uso_4,uso_5,uso_6,asp_N,asp_NE,asp_E,asp_SE,asp_S,asp_SW,asp_W,asp_NW
536,306.8318787,19.45755959,347.9757385,2.239484549,6.577083588,0.006873289,0.000763533,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10911,259.618042,19.57804108,4193.308105,2.250116587,8.569390297,-0.005768755,0.000765335,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2159,309.4066772,24.70986557,-270.015686,2.911119699,13.30468464,-0.000344206,0.000770904,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
475,309.0535278,19.95965767,604.4558716,2.332187891,5.003236294,0.018284202,0.000780272,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10606,237.7076721,16.14336777,186.0714417,1.830906153,6.756798267,-0.003202926,0.000782617,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10868,238.0566559,19.24777222,967.5921631,2.209776163,8.606517792,0.002318748,0.000785692,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10961,245.094986,27.94681549,-407.7053528,3.357520819,13.9978323,0.00296822,0.000789286,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
655,273.3455811,22.74544144,2255.15332,2.653354883,7.84547472,0.00058233,0.000791361,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10316,303.8289185,12.59786701,15.75340843,1.413459182,9.672159195,-0.003866547,0.000795403,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10148,305.1766663,20.08127975,1417.660889,2.31490159,5.17245245,-0.004830883,0.00079896,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1501,325.1124268,15.25929451,-144.4242706,1.757255077,12.61153793,0.02285059,0.000798966,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1508,226.4224854,22.54824829,249.166626,2.629755974,6.464807034,0.001481946,0.000799707,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
10503,405.206665,23.68465424,-3243.358154,2.785719633,12.89921951,-0.010945513,0.000800442,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
10602,260.0697021,17.45791626,-1656.557983,2.002559185,12.61153793,0.013076506,0.000800533,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1897,239.16716,19.25710106,86.34313965,2.228894472,6.138305187,0.014848696,0.000801159,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2071,249.110321,24.22541809,-4477.505859,2.845901728,15.06827354,-0.001049576,0.000801432,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2056,317.1281128,20.4037056,24026.63672,2.353555441,1.896010756,-0.003593827,0.000805404,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10827,317.6154785,19.55040741,84.37449646,2.250416517,4.775074959,0.004832233,0.00080664,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10802,154.0474701,3.820536137,726.223938,0.422631413,7.016931057,-0.01732835,0.000809207,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10956,263.6875,16.97648239,962.0530396,1.933465123,4.538495541,-0.000164068,0.000815969,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
10181,258.4850159,23.11097527,3304.068115,2.70234108,6.652607918,0.003997308,0.000823111,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2123,328.3601685,25.33004189,179.9111786,2.997822285,8.412325859,0.004521825,0.000827467,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2265,228.3718414,21.0537281,-680.9224854,2.442533731,13.12236309,-0.014084894,0.000831841,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10629,318.7311401,23.64430237,-4845.890137,2.769609451,12.89921951,0.000113583,0.000832107,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10759,511.8734131,18.5955143,-77.89546204,2.171550274,12.61153793,0.025331451,0.000834083,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10881,302.8721619,14.37264061,-1667.190552,1.62093997,12.89921951,-0.002996,0.00083976,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
685,326.1303711,22.67792702,409.9672241,2.659325361,6.413138866,-0.015647767,0.000842255,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2082,350.6488647,30.33645821,-1681.943726,3.70165801,13.71014977,-0.001359892,0.000843404,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10880,194.9930115,22.34233475,73.2746582,2.618717909,6.302419662,-0.004817135,0.000844612,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
